,MapID,YouTubeID,HTML,YouTubeTitle,Date,time,PD,BlogTitle,BlogID,Mode,Title,Artist,Difficulty,Mods,Beatmap by,SiteURL,YouTubeURL,BlogURL
Yes,725714,3LPMwlzk5iU,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F3LPMwlzk5iU'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/3LPMwlzk5iU' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Ju-Baku Night core</p>
<p>Artist : Tom</p>
<p>Beatmap by : x_ShiMaKaZe_x</p>
<p><a href='https://osu.ppy.sh/b/725714' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=725714&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Arigatou</p>
<p>Mods : None</p>",[osu!] Tom - Ju-Baku Night core [Arigatou],,,,Tom - Ju-Baku Night core [Arigatou],130858642338,Mania,Ju-Baku Night core,Tom,Arigatou,None,x_ShiMaKaZe_x,http://osu.ppy.sh/b/725714,https://youtu.be/3LPMwlzk5iU,http://osu.ppn.pw/post/130858642338
Yes,400353,DHo8rY_G7vk,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FDHo8rY_G7vk'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/DHo8rY_G7vk' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : J-Core Mix</p>
<p>Artist : Various Artists</p>
<p>Beatmap by : arcwinolivirus</p>
<p><a href='https://osu.ppy.sh/b/400353' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=400353&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Marathon</p>
<p>Mods : None</p>",[osu!] Various Artists - J-Core Mix [Marathon],,,,Various Artists - J-Core Mix [Marathon],130858684323,Mania,J-Core Mix,Various Artists,Marathon,None,arcwinolivirus,http://osu.ppy.sh/b/400353,https://youtu.be/DHo8rY_G7vk,http://osu.ppn.pw/post/130858684323
Yes,722934,9bXxzynD_Lg,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F9bXxzynD_Lg'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/9bXxzynD_Lg' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Dream Walker</p>
<p>Artist : Rita</p>
<p>Beatmap by : Amamiya Yuko</p>
<p><a href='https://osu.ppy.sh/b/722934' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=722934&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Ethereal</p>
<p>Mods : None</p>",[osu!] Rita - Dream Walker [Ethereal],,,,Rita - Dream Walker [Ethereal],130859725918,osu!,Dream Walker,Rita,Ethereal,None,Amamiya Yuko,http://osu.ppy.sh/b/722934,https://youtu.be/9bXxzynD_Lg,http://osu.ppn.pw/post/130859725918
Yes,707164,eiRugs_K4O8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FeiRugs_K4O8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/eiRugs_K4O8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Colors sasakure.UK Futurelogic Remix</p>
<p>Artist : sasakure.UK</p>
<p>Beatmap by : wa_</p>
<p><a href='https://osu.ppy.sh/b/707164' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=707164&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane</p>
<p>Mods : None</p>",[osu!] sasakure.UK - Colors sasakure.UK Futurelogic Remix [Insane],,,,sasakure.UK - Colors sasakure.UK Futurelogic Remix [Insane],130881203567,osu!,Colors sasakure.UK Futurelogic Remix,sasakure.UK,Insane,None,wa_,http://osu.ppy.sh/b/707164,https://youtu.be/eiRugs_K4O8,http://osu.ppn.pw/post/130881203567
Yes,589969,d3MAZD7qizo,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2Fd3MAZD7qizo'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/d3MAZD7qizo' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : AiAe</p>
<p>Artist : Yuyoyuppe</p>
<p>Beatmap by : Fort</p>
<p><a href='https://osu.ppy.sh/b/589969' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=589969&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Expert</p>
<p>Mods : None</p>",[osu!] Yuyoyuppe - AiAe [Expert],,,,Yuyoyuppe - AiAe [Expert],130881200971,osu!,AiAe,Yuyoyuppe,Expert,None,Fort,http://osu.ppy.sh/b/589969,https://youtu.be/d3MAZD7qizo,http://osu.ppn.pw/post/130881200971
Yes,649691,9wDwJ8DZZMM,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F9wDwJ8DZZMM'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/9wDwJ8DZZMM' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Kirakira time</p>
<p>Artist : Sawawa</p>
<p>Beatmap by : -SoraGami-</p>
<p><a href='https://osu.ppy.sh/b/649691' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=649691&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : GRAVITY</p>
<p>Mods : None</p>",[osu!] Sawawa - Kirakira time [GRAVITY],,,,Sawawa - Kirakira time [GRAVITY],130889285009,Mania,Kirakira time,Sawawa,GRAVITY,None,-SoraGami-,http://osu.ppy.sh/b/649691,https://youtu.be/9wDwJ8DZZMM,http://osu.ppn.pw/post/130889285009
Yes,186407,qvZXPrpkrWw,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FqvZXPrpkrWw'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/qvZXPrpkrWw' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Crystal World ~Fracture~</p>
<p>Artist : wa. remixed celas</p>
<p>Beatmap by : Mr Color</p>
<p><a href='https://osu.ppy.sh/b/186407' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=186407&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Extra </p>
<p>Mods : None</p>",[osu!] wa. remixed celas - Crystal World ~Fracture~ [Extra ],,,,wa. remixed celas - Crystal World ~Fracture~ [Extra ],130896849690,osu!,Crystal World ~Fracture~,wa. remixed celas,Extra ,None,Mr Color,http://osu.ppy.sh/b/186407,https://youtu.be/qvZXPrpkrWw,http://osu.ppn.pw/post/130896849690
Yes,571591,Y3k0ufg0d2c,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FY3k0ufg0d2c'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/Y3k0ufg0d2c' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Wish upon Twin Stars</p>
<p>Artist : xi</p>
<p>Beatmap by : Chaoslitz</p>
<p><a href='https://osu.ppy.sh/b/571591' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=571591&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : EXHAUST</p>
<p>Mods : None</p>",[osu!] xi - Wish upon Twin Stars [EXHAUST],,,,xi - Wish upon Twin Stars [EXHAUST],130907830466,osu!,Wish upon Twin Stars,xi,EXHAUST,None,Chaoslitz,http://osu.ppy.sh/b/571591,https://youtu.be/Y3k0ufg0d2c,http://osu.ppn.pw/post/130907830466
Yes,494798,6LLoD_wVU-s,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2F6LLoD_wVU-s'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/6LLoD_wVU-s' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : Chikyuu Saigo no Kokuhaku o</p>
<p>Artist : yuikonnu</p>
<p>Beatmap by : Fycho</p>
<p><a href='https://osu.ppy.sh/b/494798' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=494798&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Insane </p>
<p>Mods : None</p>",[osu!] yuikonnu - Chikyuu Saigo no Kokuhaku o [Insane ],,,,yuikonnu - Chikyuu Saigo no Kokuhaku o [Insane ],130944124990,osu!,Chikyuu Saigo no Kokuhaku o,yuikonnu,Insane ,None,Fycho,http://osu.ppy.sh/b/494798,https://youtu.be/6LLoD_wVU-s,http://osu.ppn.pw/post/130944124990
Yes,154165,LnT1srjt2O8,"<div class='youtube'><figure class='tmblr-embed tmblr-full' data-provider='youtube' data-orig-width='459' data-orig-height='344' data-url='https%3A%2F%2Fyoutu.be%2FLnT1srjt2O8'><iframe width='540' height='405' id='youtube_iframe' src='https://www.youtube.com/embed/LnT1srjt2O8' frameborder='0'></iframe></figure></div>
<p>Beatmap info</p>
<p>Title : ChaiN De/structioN</p>
<p>Artist : sakuzyo feat. Hatsune Miku</p>
<p>Beatmap by : Shiirn</p>
<p><a href='https://osu.ppy.sh/b/154165' target='_blank'>osu! official Beatmap Page URL</a></p>
<p><a href='https://bloodcat.com/osu/?q=154165&c=b&s=&m=' target='_blank'>Bloodcat Page</a></p>
<p>Video difficulty : Loneliness </p>
<p>Mods : None</p>",[osu!] sakuzyo feat. Hatsune Miku - ChaiN De/structioN [Loneliness ],,,,sakuzyo feat. Hatsune Miku - ChaiN De/structioN [Loneliness ],130958384669,osu!,ChaiN De/structioN,sakuzyo feat. Hatsune Miku,Loneliness ,None,Shiirn,http://osu.ppy.sh/b/154165,https://youtu.be/LnT1srjt2O8,http://osu.ppn.pw/post/130958384669
